num_stories,avg_story_points,scope_changes,bug_count,dev_count,rework_ratio,delayed
12,7,2,5,4,0.42,1
8,11,0,1,6,0.15,0
10,9,3,6,5,0.55,1
5,5,1,2,3,0.12,0
7,8,2,3,4,0.32,0
14,6,4,9,7,0.58,1
6,4,0,1,3,0.10,0
9,10,3,8,5,0.47,1
11,9,2,5,6,0.38,1
4,5,0,0,2,0.05,0
13,8,3,7,6,0.54,1
10,7,1,2,4,0.22,0
8,9,2,4,5,0.33,0
15,13,4,10,7,0.60,1
6,6,0,1,3,0.08,0
12,11,3,8,6,0.50,1
5,3,0,1,2,0.09,0
9,8,2,5,5,0.29,0
11,12,3,6,6,0.45,1
7,5,1,2,4,0.21,0
10,10,2,5,5,0.36,1
13,9,3,8,6,0.52,1
8,7,1,3,4,0.27,0
14,12,4,9,7,0.57,1
5,4,0,1,3,0.11,1
9,9,2,6,5,0.34,1
11,10,3,7,6,0.44,1
6,6,1,2,3,0.19,1
13,11,3,9,6,0.55,1
7,5,1,3,4,0.24,0
10,8,2,5,5,0.31,0
12,9,3,7,6,0.49,1
8,6,0,2,4,0.16,0
14,11,4,8,7,0.56,1
9,7,1,3,5,0.25,0
11,10,2,6,6,0.41,1
6,5,0,1,3,0.09,0
13,12,4,10,6,0.59,1
7,6,1,2,4,0.18,0
10,9,2,4,5,0.29,0
12,8,3,7,6,0.46,0
5,3,0,1,2,0.07,0
9,10,2,5,5,0.35,0
11,9,3,8,6,0.51,1
8,7,1,3,4,0.26,0
14,12,4,9,7,0.58,1
6,5,0,1,3,0.10,0
13,11,3,8,6,0.53,1
7,6,1,2,4,0.20,0
10,8,2,5,5,0.32,0
12,10,3,7,6,0.48,1
9,9,2,4,5,0.30,0
11,11,3,6,6,0.43,1
5,4,0,1,3,0.08,0
14,13,4,10,7,0.60,1
8,6,1,3,4,0.23,0
13,10,3,8,6,0.52,1
6,4,0,1,3,0.09,0
10,9,2,5,5,0.34,0
12,11,3,7,6,0.50,1
7,5,1,2,4,0.19,0
9,8,2,4,5,0.28,0
11,10,3,6,6,0.47,1
8,7,1,3,4,0.25,0
14,12,4,9,7,0.57,1
5,3,0,1,2,0.06,0
13,9,3,8,6,0.54,1
6,5,0,1,3,0.12,0
10,8,2,5,5,0.31,0
12,10,3,7,6,0.49,1
9,7,2,4,5,0.27,0
11,9,3,6,6,0.46,1
7,6,1,2,4,0.22,0
14,11,4,9,7,0.59,1
8,5,1,3,4,0.24,0
13,10,3,8,6,0.52,1
6,4,0,1,3,0.10,0
10,9,2,5,5,0.33,0
12,11,3,7,6,0.47,1
5,3,0,1,2,0.07,0
9,8,2,4,5,0.30,0
11,10,3,6,6,0.45,1
8,6,1,3,4,0.26,0
14,13,4,9,7,0.59,1
7,5,1,2,4,0.21,0
13,11,3,8,6,0.55,1
6,5,0,1,3,0.09,0
10,8,2,5,5,0.29,0
12,10,3,7,6,0.48,1
9,9,2,4,5,0.32,0
11,11,3,6,6,0.44,1
8,7,1,3,4,0.27,0
14,12,4,9,7,0.57,1
5,4,0,1,3,0.08,0
13,10,3,8,6,0.53,0
